rank,Continent,Country or region,Score by Continent,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Europe,Finland,6.2629,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Europe,Denmark,6.2629,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Europe,Norway,6.2629,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Europe,Iceland,6.2629,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Europe,Netherlands,6.2629,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Europe,Switzerland,6.2629,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Europe,Sweden,6.2629,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,Oceania,New Zealand,6.603,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,America,Canada,6.0527,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,Europe,Austria,6.2629,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,Oceania,Australia,6.603,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,America,Costa Rica,6.0527,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,Asia,Israel,5.253,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,Europe,Luxembourg,6.2629,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,Europe,United Kingdom,6.2629,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,Europe,Ireland,6.2629,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,Europe,Germany,6.2629,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,Europe,Belgium,6.2629,6.923,1.356,1.504,0.986,0.473,0.16,0.21
19,America,United States,6.0527,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,Europe,Czech Republic,6.2629,6.852,1.269,1.487,0.92,0.457,0.046,0.036
21,Asia,United Arab Emirates,5.253,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,Europe,Malta,6.2629,6.726,1.3,1.52,0.999,0.564,0.375,0.151
23,America,Mexico,6.0527,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,Europe,France,6.2629,6.592,1.324,1.472,1.045,0.436,0.111,0.183
25,Asia,Taiwan,5.253,6.446,1.368,1.43,0.914,0.351,0.242,0.097
26,America,Chile,6.0527,6.444,1.159,1.369,0.92,0.357,0.187,0.056
27,America,Guatemala,6.0527,6.436,0.8,1.269,0.746,0.535,0.175,0.078
28,Asia,Saudi Arabia,5.253,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,Asia,Qatar,5.253,6.374,1.684,1.313,0.871,0.555,0.22,0.167
30,Europe,Spain,6.2629,6.354,1.286,1.484,1.062,0.362,0.153,0.079
31,America,Panama,6.0527,6.321,1.149,1.442,0.91,0.516,0.109,0.054
32,America,Brazil,6.0527,6.3,1.004,1.439,0.802,0.39,0.099,0.086
33,America,Uruguay,6.0527,6.293,1.124,1.465,0.891,0.523,0.127,0.15
34,Asia,Singapore,5.253,6.262,1.572,1.463,1.141,0.556,0.271,0.453
35,America,El Salvador,6.0527,6.253,0.794,1.242,0.789,0.43,0.093,0.074
36,Europe,Italy,6.2629,6.223,1.294,1.488,1.039,0.231,0.158,0.03
37,Asia,Bahrain,5.253,6.199,1.362,1.368,0.871,0.536,0.255,0.11
38,Europe,Slovakia,6.2629,6.198,1.246,1.504,0.881,0.334,0.121,0.014
39,America,Trinidad & Tobago,6.0527,6.192,1.231,1.477,0.713,0.489,0.185,0.016
40,Europe,Poland,6.2629,6.182,1.206,1.438,0.884,0.483,0.117,0.05
41,Asia,Uzbekistan,5.253,6.174,0.745,1.529,0.756,0.631,0.322,0.24
42,Europe,Lithuania,6.2629,6.149,1.238,1.515,0.818,0.291,0.043,0.042
43,America,Colombia,6.0527,6.125,0.985,1.41,0.841,0.47,0.099,0.034
44,Europe,Slovenia,6.2629,6.118,1.258,1.523,0.953,0.564,0.144,0.057
45,America,Nicaragua,6.0527,6.105,0.694,1.325,0.835,0.435,0.2,0.127
46,Europe,Kosovo,6.2629,6.1,0.882,1.232,0.758,0.489,0.262,0.006
47,America,Argentina,6.0527,6.086,1.092,1.432,0.881,0.471,0.066,0.05
48,Europe,Romania,6.2629,6.07,1.162,1.232,0.825,0.462,0.083,0.005
49,Asia,Cyprus,5.253,6.046,1.263,1.223,1.042,0.406,0.19,0.041
50,America,Ecuador,6.0527,6.028,0.912,1.312,0.868,0.498,0.126,0.087
51,Asia,Kuwait,5.253,6.021,1.5,1.319,0.808,0.493,0.142,0.097
52,Asia,Thailand,5.253,6.008,1.05,1.409,0.828,0.557,0.359,0.028
53,Europe,Latvia,6.2629,5.94,1.187,1.465,0.812,0.264,0.075,0.064
54,Asia,South Korea,5.253,5.895,1.301,1.219,1.036,0.159,0.175,0.056
55,Europe,Estonia,6.2629,5.893,1.237,1.528,0.874,0.495,0.103,0.161
56,America,Jamaica,6.0527,5.89,0.831,1.478,0.831,0.49,0.107,0.028
57,Africa,Mauritius,4.3682,5.888,1.12,1.402,0.798,0.498,0.215,0.06
58,Asia,Japan,5.253,5.886,1.327,1.419,1.088,0.445,0.069,0.14
59,America,Honduras,6.0527,5.86,0.642,1.236,0.828,0.507,0.246,0.078
60,Asia,Kazakhstan,5.253,5.809,1.173,1.508,0.729,0.41,0.146,0.096
61,America,Bolivia,6.0527,5.779,0.776,1.209,0.706,0.511,0.137,0.064
62,Europe,Hungary,6.2629,5.758,1.201,1.41,0.828,0.199,0.081,0.02
63,America,Paraguay,6.0527,5.743,0.855,1.475,0.777,0.514,0.184,0.08
64,Europe,Northern Cyprus,6.2629,5.718,1.263,1.252,1.042,0.417,0.191,0.162
65,America,Peru,6.0527,5.697,0.96,1.274,0.854,0.455,0.083,0.027
66,Europe,Portugal,6.2629,5.693,1.221,1.431,0.999,0.508,0.047,0.025
67,Asia,Pakistan,5.253,5.653,0.677,0.886,0.535,0.313,0.22,0.098
68,Europe,Russia,6.2629,5.648,1.183,1.452,0.726,0.334,0.082,0.031
69,Asia,Philippines,5.253,5.631,0.807,1.293,0.657,0.558,0.117,0.107
70,Europe,Serbia,6.2629,5.603,1.004,1.383,0.854,0.282,0.137,0.039
71,Europe,Moldova,6.2629,5.529,0.685,1.328,0.739,0.245,0.181,0
72,Africa,Libya,4.3682,5.525,1.044,1.303,0.673,0.416,0.133,0.152
73,Europe,Montenegro,6.2629,5.523,1.051,1.361,0.871,0.197,0.142,0.08
74,Asia,Tajikistan,5.253,5.467,0.493,1.098,0.718,0.389,0.23,0.144
75,Europe,Croatia,6.2629,5.432,1.155,1.266,0.914,0.296,0.119,0.022
76,Asia,Hong Kong,5.253,5.43,1.438,1.277,1.122,0.44,0.258,0.287
77,America,Dominican Republic,6.0527,5.425,1.015,1.401,0.779,0.497,0.113,0.101
78,Europe,Bosnia and Herzegovina,6.2629,5.386,0.945,1.212,0.845,0.212,0.263,0.006
79,Europe,Turkey,6.2629,5.373,1.183,1.36,0.808,0.195,0.083,0.106
80,Asia,Malaysia,5.253,5.339,1.221,1.171,0.828,0.508,0.26,0.024
81,Europe,Belarus,6.2629,5.323,1.067,1.465,0.789,0.235,0.094,0.142
82,Europe,Greece,6.2629,5.287,1.181,1.156,0.999,0.067,0,0.034
83,Asia,Mongolia,5.253,5.285,0.948,1.531,0.667,0.317,0.235,0.038
84,Oceania,North Macedonia,6.603,5.274,0.983,1.294,0.838,0.345,0.185,0.034
85,Africa,Nigeria,4.3682,5.265,0.696,1.111,0.245,0.426,0.215,0.041
86,Asia,Kyrgyzstan,5.253,5.261,0.551,1.438,0.723,0.508,0.3,0.023
87,Asia,Turkmenistan,5.253,5.247,1.052,1.538,0.657,0.394,0.244,0.028
88,Africa,Algeria,4.3682,5.211,1.002,1.16,0.785,0.086,0.073,0.114
89,Africa,Morocco,4.3682,5.208,0.801,0.782,0.782,0.418,0.036,0.076
90,Asia,Azerbaijan,5.253,5.208,1.043,1.147,0.769,0.351,0.035,0.182
91,Asia,Lebanon,5.253,5.197,0.987,1.224,0.815,0.216,0.166,0.027
92,Asia,Indonesia,5.253,5.192,0.931,1.203,0.66,0.491,0.498,0.028
93,Asia,China,5.253,5.191,1.029,1.125,0.893,0.521,0.058,0.1
94,Asia,Vietnam,5.253,5.175,0.741,1.346,0.851,0.543,0.147,0.073
95,Asia,Bhutan,5.253,5.082,0.813,1.321,0.604,0.457,0.37,0.167
96,Africa,Cameroon,4.3682,5.044,0.549,0.91,0.331,0.381,0.187,0.037
97,Europe,Bulgaria,6.2629,5.011,1.092,1.513,0.815,0.311,0.081,0.004
98,Africa,Ghana,4.3682,4.996,0.611,0.868,0.486,0.381,0.245,0.04
99,Africa,Ivory Coast,4.3682,4.944,0.569,0.808,0.232,0.352,0.154,0.09
100,Asia,Nepal,5.253,4.913,0.446,1.226,0.677,0.439,0.285,0.089
101,Asia,Jordan,5.253,4.906,0.837,1.225,0.815,0.383,0.11,0.13
102,Africa,Benin,4.3682,4.883,0.393,0.437,0.397,0.349,0.175,0.082
103,Africa,Congo (Brazzaville),4.3682,4.812,0.673,0.799,0.508,0.372,0.105,0.093
104,Africa,Gabon,4.3682,4.799,1.057,1.183,0.571,0.295,0.043,0.055
105,Asia,Laos,5.253,4.796,0.764,1.03,0.551,0.547,0.266,0.164
106,Africa,South Africa,4.3682,4.722,0.96,1.351,0.469,0.389,0.13,0.055
107,Europe,Albania,6.2629,4.719,0.947,0.848,0.874,0.383,0.178,0.027
108,America,Venezuela,6.0527,4.707,0.96,1.427,0.805,0.154,0.064,0.047
109,Asia,Cambodia,5.253,4.7,0.574,1.122,0.637,0.609,0.232,0.062
110,Asia,Palestinian Territories,5.253,4.696,0.657,1.247,0.672,0.225,0.103,0.066
111,Africa,Senegal,4.3682,4.681,0.45,1.134,0.571,0.292,0.153,0.072
112,Africa,Somalia,4.3682,4.668,0,0.698,0.268,0.559,0.243,0.27
113,Africa,Namibia,4.3682,4.639,0.879,1.313,0.477,0.401,0.07,0.056
114,Africa,Niger,4.3682,4.628,0.138,0.774,0.366,0.318,0.188,0.102
115,Africa,Burkina Faso,4.3682,4.587,0.331,1.056,0.38,0.255,0.177,0.113
116,Asia,Armenia,5.253,4.559,0.85,1.055,0.815,0.283,0.095,0.064
117,Asia,Iran,5.253,4.548,1.1,0.842,0.785,0.305,0.27,0.125
118,Africa,Guinea,4.3682,4.534,0.38,0.829,0.375,0.332,0.207,0.086
119,Asia,Georgia,5.253,4.519,0.886,0.666,0.752,0.346,0.043,0.164
120,Africa,Gambia,4.3682,4.516,0.308,0.939,0.428,0.382,0.269,0.167
121,Africa,Kenya,4.3682,4.509,0.512,0.983,0.581,0.431,0.372,0.053
122,Africa,Mauritania,4.3682,4.49,0.57,1.167,0.489,0.066,0.106,0.088
123,Africa,Mozambique,4.3682,4.466,0.204,0.986,0.39,0.494,0.197,0.138
124,Africa,Tunisia,4.3682,4.461,0.921,1,0.815,0.167,0.059,0.055
125,Asia,Bangladesh,5.253,4.456,0.562,0.928,0.723,0.527,0.166,0.143
126,Asia,Iraq,5.253,4.437,1.043,0.98,0.574,0.241,0.148,0.089
127,Africa,Congo (Kinshasa),4.3682,4.418,0.094,1.125,0.357,0.269,0.212,0.053
128,Africa,Mali,4.3682,4.39,0.385,1.105,0.308,0.327,0.153,0.052
129,Africa,Sierra Leone,4.3682,4.374,0.268,0.841,0.242,0.309,0.252,0.045
130,Asia,Sri Lanka,5.253,4.366,0.949,1.265,0.831,0.47,0.244,0.047
131,Asia,Myanmar,5.253,4.36,0.71,1.181,0.555,0.525,0.566,0.172
132,Africa,Chad,4.3682,4.35,0.35,0.766,0.192,0.174,0.198,0.078
133,Europe,Ukraine,6.2629,4.332,0.82,1.39,0.739,0.178,0.187,0.01
134,Africa,Ethiopia,4.3682,4.286,0.336,1.033,0.532,0.344,0.209,0.1
135,Africa,Swaziland,4.3682,4.212,0.811,1.149,0,0.313,0.074,0.135
136,Africa,Uganda,4.3682,4.189,0.332,1.069,0.443,0.356,0.252,0.06
137,Africa,Egypt,4.3682,4.166,0.913,1.039,0.644,0.241,0.076,0.067
138,Africa,Zambia,4.3682,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,Africa,Togo,4.3682,4.085,0.275,0.572,0.41,0.293,0.177,0.085
140,Asia,India,5.253,4.015,0.755,0.765,0.588,0.498,0.2,0.085
141,Africa,Liberia,4.3682,3.975,0.073,0.922,0.443,0.37,0.233,0.033
142,Africa,Comoros,4.3682,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,Africa,Madagascar,4.3682,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,Africa,Lesotho,4.3682,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,Africa,Burundi,4.3682,3.775,0.046,0.447,0.38,0.22,0.176,0.18
146,Africa,Zimbabwe,4.3682,3.663,0.366,1.114,0.433,0.361,0.151,0.089
147,America,Haiti,6.0527,3.597,0.323,0.688,0.449,0.026,0.419,0.11
148,Africa,Botswana,4.3682,3.488,1.041,1.145,0.538,0.455,0.025,0.1
149,Asia,Syria,5.253,3.462,0.619,0.378,0.44,0.013,0.331,0.141
150,Africa,Malawi,4.3682,3.41,0.191,0.56,0.495,0.443,0.218,0.089
151,Asia,Yemen,5.253,3.38,0.287,1.163,0.463,0.143,0.108,0.077
152,Africa,Rwanda,4.3682,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Africa,Tanzania,4.3682,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Asia,Afghanistan,5.253,3.203,0.35,0.517,0.361,0,0.158,0.025
155,Africa,Central African Republic,4.3682,3.083,0.026,0,0.105,0.225,0.235,0.035
156,Africa,South Sudan,4.3682,2.853,0.306,0.575,0.295,0.01,0.202,0.091
